,Unnamed: 0,docid,string,label,start,end,Remove
49321,49321,5528,ALONSO PEREZ,PER,38,40,0
49390,49390,5538,ALONSO PEREZ,PER,0,2,0
43115,43115,4692,ALONSO PEREZ,PER,37,39,0
43088,43088,4688,ALONSO PEREZ,PER,30,32,0
62320,62320,7419,ALONSO PEREZ,PER,0,2,0
43059,43059,4683,ALONSO PEREZ,PER,33,35,0
43001,43001,4678,ALONSO PEREZ,PER,47,49,0
62702,62702,7465,ALONSO PEREZ,PER,6,8,0
62671,62671,7462,ALONSO PEREZ,PER,14,16,0
62546,62546,7448,ALONSO PEREZ,PER,6,8,0
50326,50326,5667,ALONSO PEREZ,PER,17,19,0
50538,50538,5695,ALONSO PEREZ,PER,8,10,0
50551,50551,5698,ALONSO PEREZ,PER,0,2,0
64997,64997,7806,ALONSO PEREZ,PER,0,2,0
50580,50580,5701,ALONSO PEREZ,PER,75,77,0
62414,62414,7426,ALONSO PEREZ,PER,30,32,0
50666,50666,5710,ALONSO PEREZ,PER,31,33,0
50667,50667,5710,ALONSO PEREZ,PER,40,42,0
62345,62345,7422,ALONSO PEREZ,PER,18,20,0
62334,62334,7421,ALONSO PEREZ,PER,14,16,0
43051,43051,4682,ALONSO PEREZ,PER,38,40,0
62141,62141,7393,ALONSO PEREZ,PER,0,2,0
62314,62314,7417,ALONSO PEREZ,PER,0,2,0
61925,61925,7360,ALONSO PEREZ,PER,36,38,0
62049,62049,7378,ALONSO PEREZ,PER,0,2,0
61907,61907,7358,ALONSO PEREZ,PER,27,29,0
62043,62043,7377,ALONSO PEREZ,PER,0,2,0
62034,62034,7376,ALONSO PEREZ,PER,0,2,0
62027,62027,7375,ALONSO PEREZ,PER,0,2,0
62024,62024,7374,ALONSO PEREZ,PER,86,88,0
62021,62021,7374,ALONSO PEREZ,PER,17,19,0
62013,62013,7373,ALONSO PEREZ,PER,0,2,0
62006,62006,7372,ALONSO PEREZ,PER,0,2,0
61993,61993,7371,ALONSO PEREZ,PER,0,2,0
62057,62057,7379,ALONSO PEREZ,PER,0,2,0
61980,61980,7369,ALONSO PEREZ,PER,0,2,0
